indicator,ROC-AUC,AP,NDCG10,Precision10,Recall10,NDCG20,Precision20,Recall20,NDCG30,Precision30,Recall30,NDCG40,Precision40,Recall40,NDCG50,Precision50,Recall50,tie_count,rank_biserial,ci_low,ci_high
V index,0.6115542228885558,0.5697562049965429,0.4790452152443925,0.5252100840336135,0.1026272577996715,0.5191243572804505,0.5527426160337553,0.2151067323481116,0.5782766798508155,0.6151685393258427,0.3596059113300492,0.5916294698781102,0.6223628691983122,0.4844006568144499,0.5925476949484038,0.6173986486486487,0.6001642036124795,358,0.2231084457771115,0.1607361319340329,0.2839248233026342
w index,0.6264553437566931,0.5738232556625159,0.479004972779752,0.5176470588235293,0.1011494252873563,0.5529169073823271,0.5907172995780592,0.2298850574712644,0.5675921426849942,0.5962078651685393,0.3485221674876847,0.5745359453749243,0.5976397679324894,0.4651580459770115,0.5893526836034391,0.6113427257044278,0.5942773294203962,1100,0.2529106875133862,0.190064324980367,0.3174464910401941
woginger_index,0.6719083315485115,0.6048633243327277,0.4770349685182924,0.504201680672269,0.0985221674876847,0.5764775526156446,0.6160337552742616,0.2397372742200328,0.6141155924116184,0.6498127340823969,0.3798576902025177,0.6437699529616524,0.6776738213171896,0.5274505604340688,0.6424098112909981,0.6691947049089906,0.6505143929492979,1060,0.3438166630970229,0.2812370243449704,0.4059364603412579
h(2) index,0.6226429642321697,0.5758415642038338,0.4753582851566593,0.5157563025210085,0.1007799671592775,0.5522243426529946,0.5902808089626074,0.2297151916652511,0.5690665828447027,0.5982477260567148,0.3497145984830714,0.5744010900378468,0.597542814594192,0.4650825847580411,0.5869600447805018,0.6084377059986817,0.5914534022187513,1132,0.2452859284643394,0.1831976868708502,0.3080746769472408
normalized_h_index,0.573376169058328,0.5458463379626888,0.4728231044188835,0.4705882352941176,0.0919540229885057,0.5307876966182552,0.5443037974683543,0.2118226600985221,0.5520891539090831,0.5663623595505618,0.3310755336617406,0.5559652445676825,0.5675105485232067,0.4417077175697865,0.5640660731092373,0.575168918918919,0.5591133004926109,480,0.146752338116656,0.0815620047119298,0.2120764617691155
Rm index,0.6172542300278432,0.5677923491272221,0.4631350163229027,0.4873949579831932,0.0952380952380952,0.5294110233416809,0.5569620253164557,0.2167487684729064,0.5652691532551626,0.5926966292134831,0.3464696223316913,0.5775203854146044,0.6012658227848101,0.4679802955665024,0.5854775612617399,0.606418918918919,0.5894909688013136,130,0.2345084600556863,0.1717197829656599,0.2979749411008781
paper/author,0.5634354251445706,0.5390959353491152,0.4630903544898269,0.5042016806722689,0.0985221674876847,0.5208729712159815,0.5569620253164557,0.2167487684729064,0.5233616574378458,0.547752808988764,0.3201970443349753,0.5306623103059305,0.5506329113924051,0.4285714285714285,0.5502088987259176,0.5709459459459459,0.555008210180624,178,0.1268708502891411,0.0601144427786107,0.1900903833797385
f index,0.5938059541657742,0.5538973777211026,0.4573069488088899,0.4621848739495798,0.090311986863711,0.5051847079563522,0.5189873417721519,0.2019704433497537,0.5535944225521742,0.5749063670411985,0.3360700602079912,0.5694248702116212,0.5893108298171589,0.4586754241926655,0.579252546919366,0.5974532224532224,0.5807755462927876,977,0.1876119083315484,0.1219423145570072,0.2509152566573855
Total Years,0.546848004569144,0.5294172673295436,0.448085654351651,0.4789915966386555,0.0935960591133004,0.4781789725780189,0.50070323488045,0.1948549534756431,0.5078640057295163,0.5298774259448417,0.3097477235408269,0.5277002269263602,0.5486342438374416,0.4270158154005703,0.532635304838632,0.5505912162162162,0.5352216748768472,1003,0.0936960091382879,0.0252611551367173,0.1553291925465839
q2 index,0.6191789819376027,0.5663295961873949,0.4475567631582756,0.4789915966386555,0.0935960591133004,0.5293667133975062,0.5654008438818565,0.2200328407224959,0.5599272797273049,0.5912921348314607,0.3456486042692939,0.5724039826181334,0.5991561181434599,0.4663382594417077,0.5825817526073269,0.606418918918919,0.5894909688013136,331,0.2383579638752053,0.1763599628757049,0.3013356179053331
