model,cut_distance,family,count,members,mean_summed_abs_SHAP,SD,mean_per_indicator
RF,0.1,F10,1,h2 center_index,0.0169881056983715,0.0144161680347445,0.0169881056983715
RF,0.1,F11,1,h2 lower_index,0.0062859358481574,0.0055578813560129,0.0062859358481574
RF,0.1,F12,1,k dash index,0.0100711355182581,0.0095765904595068,0.0100711355182581
RF,0.1,F13,1,m_qoutient_index,0.0058131636366278,0.0047092349643407,0.0058131636366278
RF,0.1,F14,1,V index,0.0108597919003021,0.0096411733355656,0.0108597919003021
RF,0.1,F15,1,Author/paper,0.0170842825886259,0.014428073426146,0.0170842825886259
RF,0.1,F16,1,k index,0.0348187964516617,0.0185035216353571,0.0348187964516617
RF,0.1,F17,1,Real h index,0.005366872376865,0.0060654524310529,0.005366872376865
RF,0.15,F01,45,Total Publication | Total Citation | h index | g index | h(2) index | w index | h core citation | f index | t index | tappered_h_index | Maxprod | wu index | pi index | weighted h index | Gh_index | Rm index | i10 index | HI_index | AW_index | Ar index | hm_index | hf index | gf index | gF index | hi index | h_m_index | k norm index | w norm index | gm index | R index | q2 index | e index | hg_index | pure h index | fractional g index | fractional h index | AWCR | cites/author | paper/author | h dash index | hl norm | hc index | ha index | hi index s | Rational h index,0.1381384565884413,0.0447703366554218,0.0030697434797431
RF,0.15,F02,1,Total Years,0.0049503300539961,0.0049543116432245,0.0049503300539961
RF,0.15,F03,5,Cite/Year | m index | platinium_h_index | A index | P index,0.0662412393507672,0.0290318504090681,0.0132482478701534
RF,0.15,F04,2,Cite/Paper | normalized_h_index,0.0128960365301035,0.0092472337691178,0.0064480182650517
RF,0.15,F05,1,woginger_index,0.0130900169846614,0.0104289944413509,0.0130900169846614
RF,0.15,F06,1,X index,0.0206777495237208,0.0219576658106457,0.0206777495237208
RF,0.15,F07,1,h2upper_index,0.0327707764418247,0.0171096716265883,0.0327707764418247
RF,0.15,F08,1,h2 center_index,0.0169881056983715,0.0144161680347445,0.0169881056983715
RF,0.15,F09,1,h2 lower_index,0.0062859358481574,0.0055578813560129,0.0062859358481574
RF,0.15,F10,1,k dash index,0.0100711355182581,0.0095765904595068,0.0100711355182581
RF,0.15,F11,1,m_qoutient_index,0.0058131636366278,0.0047092349643407,0.0058131636366278
RF,0.15,F12,1,V index,0.0108597919003021,0.0096411733355656,0.0108597919003021
RF,0.15,F13,1,Author/paper,0.0170842825886259,0.014428073426146,0.0170842825886259
RF,0.15,F14,1,k index,0.0348187964516617,0.0185035216353571,0.0348187964516617
RF,0.15,F15,1,Real h index,0.005366872376865,0.0060654524310529,0.005366872376865
RF,0.2,F01,50,Total Publication | Total Citation | Cite/Year | h index | g index | h(2) index | w index | h core citation | m index | f index | t index | tappered_h_index | Maxprod | wu index | pi index | weighted h index | Gh_index | Rm index | i10 index | platinium_h_index | HI_index | AW_index | Ar index | hm_index | hf index | gf index | gF index | hi index | h_m_index | k norm index | w norm index | gm index | A index | R index | P index | q2 index | e index | hg_index | pure h index | fractional g index | fractional h index | AWCR | cites/author | paper/author | h dash index | hl norm | hc index | ha index | hi index s | Rational h index,0.2043796959392086,0.0530966015052926,0.0040875939187841
RF,0.2,F02,1,Total Years,0.0049503300539961,0.0049543116432245,0.0049503300539961
RF,0.2,F03,2,Cite/Paper | normalized_h_index,0.0128960365301035,0.0092472337691178,0.0064480182650517
RF,0.2,F04,1,woginger_index,0.0130900169846614,0.0104289944413509,0.0130900169846614
RF,0.2,F05,1,X index,0.0206777495237208,0.0219576658106457,0.0206777495237208
RF,0.2,F06,1,h2upper_index,0.0327707764418247,0.0171096716265883,0.0327707764418247
RF,0.2,F07,1,h2 center_index,0.0169881056983715,0.0144161680347445,0.0169881056983715
RF,0.2,F08,1,h2 lower_index,0.0062859358481574,0.0055578813560129,0.0062859358481574
RF,0.2,F09,1,k dash index,0.0100711355182581,0.0095765904595068,0.0100711355182581
RF,0.2,F10,2,m_qoutient_index | V index,0.01667295553693,0.0121818437351664,0.008336477768465
RF,0.2,F11,1,Author/paper,0.0170842825886259,0.014428073426146,0.0170842825886259
RF,0.2,F12,1,k index,0.0348187964516617,0.0185035216353571,0.0348187964516617
RF,0.2,F13,1,Real h index,0.005366872376865,0.0060654524310529,0.005366872376865
XGB,0.05,F01,4,Total Publication | gF index | gm index | paper/author,0.2301875797920422,0.177672010633131,0.0575468949480105
XGB,0.05,F02,18,Total Citation | h(2) index | w index | h core citation | Maxprod | pi index | weighted h index | Rm index | AW_index | Ar index | R index | q2 index | e index | AWCR | cites/author | h dash index | hc index | ha index,1.022606652066119,0.5593539189391932,0.0568114806703399
XGB,0.05,F03,1,Total Years,0.0998898931743435,0.1075577955208728,0.0998898931743435
